1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. PARENT CO NAME,15. PARENT CO DB NUM,16. STANDARD PARENT CO NAME,17. FEDERAL FACILITY,18. INDUSTRY SECTOR CODE,19. INDUSTRY SECTOR,20. PRIMARY SIC,26. PRIMARY NAICS,27. NAICS 2,32. DOC_CTRL_NUM,33. CHEMICAL,34. ELEMENTAL METAL INCLUDED,35. CAS #/COMPOUND ID,36. SRS ID,37. CLEAN AIR ACT CHEMICAL,38. CLASSIFICATION,39. METAL,40. METAL CATEGORY,41. CARCINOGEN,42. FORM TYPE,43. UNIT OF MEASURE,44. 5.1 - FUGITIVE AIR,45. 5.2 - STACK AIR,46. 5.3 - WATER,47. 5.4 - UNDERGROUND,48. 5.4.1 - UNDERGROUND CL I,49. 5.4.2 - UNDERGROUND C II-V,50. 5.5.1 - LANDFILLS,51. 5.5.1A - RCRA C LANDFILL,52. 5.5.1B - OTHER LANDFILLS,53. 5.5.2 - LAND TREATMENT,54. 5.5.3 - SURFACE IMPNDMNT,55. 5.5.3A - RCRA SURFACE IM,56. 5.5.3B - OTHER SURFACE I,57. 5.5.4 - OTHER DISPOSAL,58. ON-SITE RELEASE TOTAL,59. 6.1 - POTW - TRNS RLSE,60. 6.1 - POTW - TRNS TRT,61. POTW - TOTAL TRANSFERS,62. 6.2 - M10,63. 6.2 - M41,64. 6.2 - M62,65. 6.2 - M40 METAL,66. 6.2 - M61 METAL,67. 6.2 - M71,68. 6.2 - M81,69. 6.2 - M82,70. 6.2 - M72,71. 6.2 - M63,72. 6.2 - M66,73. 6.2 - M67,74. 6.2 - M64,75. 6.2 - M65,76. 6.2 - M73,77. 6.2 - M79,78. 6.2 - M90,79. 6.2 - M94,80. 6.2 - M99,81. OFF-SITE RELEASE TOTAL,82. 6.2 - M20,83. 6.2 - M24,84. 6.2 - M26,85. 6.2 - M28,86. 6.2 - M93,87. OFF-SITE RECYCLED TOTAL,88. 6.2 - M56,89. 6.2 - M92,90. OFF-SITE ENERGY RECOVERY T,91. 6.2 - M40 NON-METAL,92. 6.2 - M50,93. 6.2 - M54,94. 6.2 - M61 NON-METAL,95. 6.2 - M69,96. 6.2 - M95,97. OFF-SITE TREATED TOTAL,98. 6.2 - UNCLASSIFIED,99. 6.2 - TOTAL TRANSFER,100. TOTAL RELEASES,101. 8.1 - RELEASES,102. 8.1A - ON-SITE CONTAINED,103. 8.1B - ON-SITE OTHER,104. 8.1C - OFF-SITE CONTAIN,105. 8.1D - OFF-SITE OTHER R,106. 8.2 - ENERGY RECOVER ON,107. 8.3 - ENERGY RECOVER OF,108. 8.4 - RECYCLING ON SITE,109. 8.5 - RECYCLING OFF SIT,110. 8.6 - TREATMENT ON SITE,111. 8.7 - TREATMENT OFF SITE,112. PRODUCTION WSTE (8.1-8.7),113. 8.8 - ONE-TIME RELEASE,114. PROD_RATIO_OR_ ACTIVITY,115. 8.9 - PRODUCTION RATIO,New Georeferenced Column
2018,8411WGNVRC62S64,,GENEVA ROCK PRODUCTS   BACCHUS PIT,4699 S 6400 W,WEST VALLEY CITY,SALT LAKE,UT,84128,,,,,CLYDE COS,63560986,CLYDE COS INC,false,327,Nonmetallic Mineral Product,,327320,,1318217550401,LEAD,false,7439921,149583,true,PBT,true,1,true,R,Pounds,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,3.61,0,0,0,0,0,0,0,0,3.61,,,,
2015,84042CCCST1555W,110013337656,C & C CAST POLYMERS INC,1525W 275S,LINDON,UTAH,UT,84042,,,40.33346,-111.75253,NA,,NA,false,326,Plastics and Rubber,,326199,,1315213589169,STYRENE,false,100425,19414,true,TRI,false,0,true,R,Pounds,6021,2028,0,0,0,0,0,0,0,0,0,0,0,0,8049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8049,0,0,8049,0,0,0,0,0,0,0,0,8049,,PRODUCTION,1.19,POINT (-111.75253 40.33346)
2018,84087VLLYP727SO,110000469145,VALLEY PAINT MANUFACTURING,727 S 950 W,WOODS CROSS,DAVIS,UT,84087,,,40.883209,-111.906241,NA,,NA,false,325,Chemicals,,325510,,1318216743132,ETHYLBENZENE,false,100414,19406,true,TRI,false,0,true,R,Pounds,546.94,269.39,0,0,0,0,0,0,0,0,0,0,0,0,816.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816.33,0,0,816.33,0,0,0,0,0,0,0,0,816.33,,PRODUCTION,0.87,POINT (-111.906241 40.883209)
2018,84118BRDYC4825S,110042338832,BRODY CHEMICAL,6125 W DOUBLE EAGLE CIR,SALT LAKE CITY,SALT LAKE,UT,84118,,,40.66502,-112.03745,NA,,NA,false,325,Chemicals,,325998,,1318217041425,N-HEXANE,false,110543,26740,true,TRI,false,0,false,R,Pounds,250,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,250,0,0,0,0,0,0,0,0,250,,PRODUCTION,1,POINT (-112.03745 40.66502)
2016,84029SFTYK11600,110000906985,CLEAN HARBORS ARAGONITE LLC,11600 NORTH APTUS ROAD,GRANTSVILLE,TOOELE,UT,84029,,,40.7344,-112.9681,CLEAN HARBORS INC,157793639,CLEAN HARBORS INC,false,562,Hazardous Waste,,562211,562213,1316215689516,N-NITROSO-N-METHYLUREA,false,684935,67462,true,TRI,false,0,true,R,Pounds,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,10172,0,10172.01,,ACTIVITY,1,POINT (-112.9681 40.7344)
2018,84319MLLRN410NO,110000469699,SWIFT BEEF CO,410 N 200 W,HYRUM,CACHE,UT,84319,,,41.64415,-111.86086,JBS USA FOOD CO,48124978,JBS USA FOOD CO,false,311,Food,,311611,,1318216879066,AMMONIA,false,7664417,152389,false,TRI,false,0,false,R,Pounds,0,3561,0,0,0,0,0,0,0,0,0,0,0,0,3561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,306,0,0,0,0,0,0,15643,0,0,15643,0,15949,3561,0,0,3561,0,0,0,0,0,306,0,15643,19510,,PRODUCTION,1.06,POINT (-111.86086 41.64415)
2017,84029NVRCRUSINT,110000607184,ENERGYSOLUTIONS LLC,US INTERSTATE 80 EXIT 49 5 MILES S OF INTERSTATE,GRANTSVILLE,TOOELE,UT,84029,,,40.681111,-113.124722,ENERGYSOLUTIONS LLC,183786607,ENERGYSOLUTIONS LLC,false,562,Hazardous Waste,,562211,,1317216219358,ASBESTOS (FRIABLE),false,1332214,85282,true,TRI,false,2,true,R,Pounds,0,0,0,0,0,0,0,61902.43,787790.94,0,0,0,0,0,849693.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849693.37,0,849693.37,0,0,0,0,0,0,0,0,0,849693.37,,PRODUCTION,1.29,POINT (-113.124722 40.681111)
2018,84029SFTYK11600,110000906985,CLEAN HARBORS ARAGONITE LLC,11600 NORTH APTUS ROAD,GRANTSVILLE,TOOELE,UT,84029,,,40.7344,-112.9681,CLEAN HARBORS INC,157793639,CLEAN HARBORS INC,false,562,Hazardous Waste,,562211,562213,1318217503453,CHLOROFORM,false,67663,4317,true,TRI,false,0,true,R,Pounds,74.45,0.12,0,0,0,0,0,0,0,0,0,0,0,0,74.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,0,0,15.85,0,0,0.27,0,0,0.27,0,0,0,0,503.81,0,0,0,0,503.81,0,519.93,90.42,0,0,74.57,15.85,0,0,0,0,0.27,118082,503.81,118676.5,,ACTIVITY,1,POINT (-112.9681 40.7344)
2016,84119RBBRN3459S,110011782133,WEIR MINERALS LINATEX- SALT LAKE CITY,3459 SOUTH 700 WEST,SALT LAKE CITY,SALT LAKE,UT,84119,,,40.7523,-111.9045,WEIR GROUP PLC,NA,WEIR GROUP PLC,false,326,Plastics and Rubber,,326299,,1316215758691,ZINC COMPOUNDS,false,N982,649699,false,TRI,true,1,false,R,Pounds,0,14.668,11.11,0,0,0,0,0,0,0,0,0,0,0,25.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517,94.05,0,0,0,0,0,2611.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2611.05,2636.828,0,0,25.778,2611.05,0,0,0,0,0,0,0,2636.828,,PRODUCTION,0.86,POINT (-111.9045 40.7523)
2015,84116STKRP2080N,110002274501,STAKER & PARSON COS BECK NORTH READY MIX & ASPHALT,2080 N BECK ST,SALT LAKE CITY,SALT LAKE,UT,84116,,,40.81162,-111.91876,CRH AMERICAS INC,37179591,CRH AMERICAS INC,false,327,Nonmetallic Mineral Product,,327320,,1315213831237,MERCURY,false,7439976,149633,true,PBT,true,1,false,R,Pounds,0.008,0.0007,0,0,0,0,0,0,0,0,0,0,0.42,0,0.4287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4287,0,0,0.4287,0,0,0,0,0,0,0,0,0.4287,,PRODUCTION,1.05,POINT (-111.91876 40.81162)
